,2024,2025
2025-10-01,,0.04602190930956018
2025-10-02,,0.04377161733716256
2025-10-03,,0.09248846595805615
2025-10-06,,-0.04520194748475226
2025-10-07,,0.026053325521682713
2025-10-08,,-0.018547916514596974
2025-10-09,,0.01717121951550782
2025-10-10,,0.008701421437048995
2025-10-13,,0.04026548802271823
2025-10-14,,-0.0051935567167461505
2025-10-15,,-0.03472168988319363
2025-10-16,,0.015560455188909028
2025-10-17,,-0.003309026513945934
2025-10-20,,-0.01368803144626285
2025-10-21,,-0.011647371845636967
2025-10-22,,-0.004004140410616253
2025-10-23,,-0.050188515626447106
2025-10-24,,0.023015225003695405
2025-10-27,,0.021264019719607674
2025-10-28,,0.014727677535373684
2025-10-29,,0.03709233643527032
2025-10-30,,-0.011350146229910263
2025-10-31,,0.010726506788257817
2025-11-03,,0.049715607986381194
2025-11-04,,-0.020610026519258473
2025-11-05,,0.054066134072491334
2025-11-06,,-0.008576756048800815
2025-11-07,,-0.007506199219731058
2025-11-10,,0.01714788877082274
2025-11-11,,0.012288027901160514
2025-11-12,,0.046006984919917115
2025-11-13,,-0.007083994408571881
2025-11-14,,-0.0022248042792806233
2025-11-17,,0.018671056975967604
2025-11-18,,0.015880038408118635
2025-11-19,,-0.03305588356009975
2025-11-20,,-0.01092687651033819
2025-11-21,,0.05867294343059759
2025-11-24,,0.05088908968490585
2025-11-25,,0.007047471026223162
2025-11-26,,0.0024361076915604407
2025-11-28,,-0.015805072453664193
2025-12-01,,-0.0054395223030963
2025-12-02,,-0.038142655868804276
2025-12-03,,-0.004274062513988985
2025-12-04,,0.017420672760003808
2025-12-05,,-0.0042059050769367445
2025-12-08,,-0.0014405757130945274
2025-12-09,,0.013207276532446854
2025-12-10,,-0.004291830637610072
2025-12-11,,0.03995704460703725
2025-12-12,,0.028292959563560816
2025-12-15,,-0.010672183940749647
2025-12-16,,-0.001650438017889
2025-12-17,,0.01930992810573262
2025-12-18,,0.013102936601829429
2025-12-19,,-0.007521580846924725
2025-12-22,,0.0071333683202551845
2025-12-23,,-0.0004224505720341609
2025-12-24,,0.010997585486096306
2025-12-26,,0.013454832564695707
2025-12-29,,0.021380408675331142
2025-12-30,,-0.0011221785568792386
2025-12-31,,
